id,tipo,fecha_operacion,cobro,cod_op
(1,'Particular','2024-09-07 18:56:50',1.5,'wXZqLHe1'),
(2,'Particular','2024-09-07 18:56:50',1.5,'V2lD885F'),
(3,'Carga','2024-09-07 18:56:50',9.75,'AuAA2OQ0'),
(4,'Bicicleta','2024-09-07 18:56:50',0.0,'UagIX1GT'),
(5,'Motocicleta','2024-09-07 18:56:50',1.0,'zzpfaOuw'),
(6,'Particular','2024-09-07 18:56:50',1.5,'A1jnonwB'),
(7,'Particular','2024-09-07 18:56:50',1.5,'3WhawaWw'),
(8,'Motocicleta','2024-09-07 18:56:50',1.0,'ZgyeoPcT'),
(9,'Bicicleta','2024-09-07 18:56:50',0.0,'0wsIPvDM'),
(10,'Carga','2024-09-07 18:56:50',9.75,'YDZmGIcZ'),
(11,'Particular','2024-09-07 18:56:51',1.5,'lhGIjpAn'),
(12,'Carga','2024-09-07 18:56:51',9.75,'KoLkpNw3'),
(13,'Bicicleta','2024-09-07 18:56:51',0.0,'XGjBHMLV'),
(14,'Motocicleta','2024-09-07 18:56:51',1.0,'xwsiuWTp'),
(15,'Carga','2024-09-07 18:56:51',9.75,'VncuT8xC'),
(16,'Particular','2024-09-07 18:56:51',1.5,'8Hbdw0LD'),
(17,'Particular','2024-09-07 18:56:51',1.5,'Zx8lZE04'),
(18,'Particular','2024-09-07 18:56:51',1.5,'vMFKHxjI'),
(19,'Particular','2024-09-07 18:56:51',1.5,'imMLRboV'),
(20,'Motocicleta','2024-09-07 18:56:51',1.0,'Wb9fYcRk'),
(21,'Motocicleta','2024-09-07 18:56:51',1.0,'VhFCoj0R'),
(22,'Bicicleta','2024-09-07 18:56:51',0.0,'RKh7M4AS'),
(23,'Motocicleta','2024-09-07 18:56:51',1.0,'m2cCS4Mf'),
(24,'Motocicleta','2024-09-07 19:45:36',1.0,'WCuy64E4'),
(25,'Motocicleta','2024-09-07 19:45:36',1.0,'aHimqan7'),
(26,'Particular','2024-09-07 20:38:20',1.5,'D3pMlJE4'),
(27,'Bicicleta','2024-09-07 21:10:58',0.0,'pYHxD3nM'),
(28,'Carga','2024-09-07 21:29:59',9.75,'lOf6PTaS'),
(29,'Particular','2024-09-07 21:46:42',1.5,'VA55eQfr'),
(30,'Bicicleta','2024-09-07 21:59:20',0.0,'wk4e6OGz'),
(31,'Bicicleta','2024-09-07 23:00:33',0.0,'N22V92BD'),
(32,'Particular','2024-09-07 23:49:24',1.5,'Jxyw8wJw'),
(33,'Bicicleta','2024-09-09 11:57:48',0.0,'sWc1gJxg'),
(34,'Particular','2024-09-09 16:48:49',1.5,'so3kEDlw'),
(35,'Particular','2024-09-09 16:48:49',1.5,'sDjV0fZh'),
(36,'Particular','2024-09-09 16:48:49',1.5,'Y5Wqwdsu'),
(37,'Particular','2024-09-09 16:48:49',1.5,'xiCY1RtZ'),
(38,'Particular','2024-09-09 16:48:49',1.5,'bFunOKPi'),
(39,'Carga','2024-09-09 16:48:49',9.75,'8MxBtF2F'),
(40,'Bicicleta','2024-09-09 16:48:49',0.0,'EANGyKnA')
